neighbourhood,listing_count,avg_price,median_price,avg_rating,avg_availability_rate
Buitenveldert - Zuidas,82,3013.22,182.5,4.79,0.5387
IJburg - Zeeburgereiland,107,1730.39,198.0,4.85,0.3923
Oud-Noord,252,370.5,196.5,4.8,0.3994
Centrum-West,770,315.88,245.5,4.82,0.4318
Zuid,435,309.58,238.0,4.87,0.4283
Centrum-Oost,580,307.72,240.0,4.82,0.4849
De Pijp - Rivierenbuurt,649,280.47,250.0,4.86,0.4509
De Baarsjes - Oud-West,992,271.28,240.0,4.86,0.3999
Watergraafsmeer,138,268.3,213.5,4.85,0.4135
Westerpark,392,255.04,214.5,4.84,0.4021
