host_id,host_name,listing_count,avg_price,avg_rating,total_estimated_revenue_proxy
39110511,Mike,35,257.63,4.3,2360057.0
203731852,Aimee,23,727.1,4.78,4628629.0
364305280,Arnold,23,194.7,4.47,556927.0
198405490,Suzanne,18,368.0,4.8,988620.0
488984558,Abdullah,15,165.73,4.8,58939.0
143098191,Peter,15,239.25,4.89,297299.0
14574533,Hotel Not Hotel,15,119.13,4.35,119115.0
241644101,Wittenberg,13,323.38,4.75,156974.0
408898089,Richard Alexander Nicolaas,13,258.91,4.79,516904.0
237150404,Luke,13,108.23,4.56,513555.0
