neighbourhood,listing_count,estimated_revenue_proxy,avg_estimated_revenue_proxy_per_listing,avg_price,avg_occupancy_proxy
De Baarsjes - Oud-West,1808,57204099.0,31639.44,271.28,0.7744
IJburg - Zeeburgereiland,188,48043010.0,255547.93,1730.39,0.758
Centrum-West,1207,45187402.0,37437.78,315.88,0.6762
De Pijp - Rivierenbuurt,1199,34707727.0,28947.23,280.47,0.7338
Centrum-Oost,923,31236406.0,33842.26,307.72,0.6359
Zuid,735,26029880.0,35414.8,309.58,0.731
Westerpark,736,20758617.0,28204.64,255.04,0.7801
Oud-Oost,654,16690560.0,25520.73,251.66,0.7829
Oud-Noord,485,16556165.0,34136.42,370.5,0.7822
Bos en Lommer,547,11527908.0,21074.79,204.67,0.8168
