listing_id,name,host_id,host_name,host_is_superhost,host_listings_count,host_tenure_years,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price_clean,availability_365,calendar_days,available_days,unavailable_days,availability_rate,occupancy_proxy,number_of_reviews,total_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,estimated_revenue_proxy,superhost_status,price_status,review_status,availability_rate_pct,occupancy_proxy_pct,host_portfolio_segment
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,True,1.0,16.25,Centrum-West,52.38761,4.89188,Private room in houseboat,Private room,2,1.0,1.0,132.0,17,365,17,348,0.0466,0.9534,311,311.0,4.92,4.94,4.9,4.93,45936.0,Superhost,Available Price,Has Reviews,4.66,95.34,Single-listing host
28871,Comfortable double room,124245,Edwin,True,2.0,16.11,Centrum-West,52.36775,4.89092,Private room in rental unit,Private room,2,1.0,1.0,89.0,126,365,126,239,0.3452,0.6548,732,732.0,4.87,4.86,4.93,4.94,21271.0,Superhost,Available Price,Has Reviews,34.52,65.48,Small portfolio host
29051,Comfortable single / double room,124245,Edwin,True,2.0,16.11,Centrum-Oost,52.36584,4.89111,Private room in condo,Private room,2,1.0,1.0,61.0,95,365,95,270,0.2603,0.7397,849,849.0,4.81,4.83,4.87,4.92,16470.0,Superhost,Available Price,Has Reviews,26.029999999999998,73.97,Small portfolio host
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,False,1.0,15.87,Centrum-Oost,52.37168,4.91471,Entire rental unit,Entire home/apt,4,2.0,,,0,365,0,365,0.0,1.0,42,42.0,4.71,4.49,4.68,4.9,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
48373,Cozy family home in Amsterdam South,220434,Vesna & Misha,False,1.0,15.8,Buitenveldert - Zuidas,52.32780775677816,4.87680005722526,Entire rental unit,Entire home/apt,4,2.0,,,0,365,0,365,0.0,1.0,5,5.0,5.0,5.0,4.6,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,True,1.0,15.79,Centrum-West,52.38028,4.89089,Entire guest suite,Entire home/apt,3,2.0,2.0,322.0,223,365,223,142,0.611,0.389,609,609.0,4.93,4.93,4.98,4.97,45724.0,Superhost,Available Price,Has Reviews,61.1,38.9,Single-listing host
50263,Central de Lux 2 bedrooms (4p) apt 125 sqm,230246,Donald,False,1.0,15.78,Centrum-Oost,52.36937805386749,4.929579192438728,Entire condo,Entire home/apt,4,2.0,3.0,457.0,354,365,354,11,0.9699,0.0301,177,177.0,4.86,4.81,4.66,4.76,5027.0,Non-Superhost,Available Price,Has Reviews,96.99,3.01,Single-listing host
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,False,1.0,15.77,Bos en Lommer,52.37559,4.83857,Entire townhouse,Entire home/apt,5,3.0,3.0,198.0,244,365,244,121,0.6685,0.3315,20,20.0,4.8,4.85,4.5,4.9,23958.0,Non-Superhost,Available Price,Has Reviews,66.85,33.15,Single-listing host
50523,B & B de 9 Straatjes (city center),231946,Raymond,True,1.0,15.77,Centrum-West,52.36959,4.88423,Entire condo,Entire home/apt,2,1.0,1.0,162.0,261,365,261,104,0.7151,0.2849,563,563.0,4.88,4.83,4.94,4.84,16848.0,Superhost,Available Price,Has Reviews,71.50999999999999,28.49,Single-listing host
53921,Amsterdam Stylish Lakeview Apartment,252245,Ingrid,False,1.0,15.72,IJburg - Zeeburgereiland,52.35559,5.0032,Entire rental unit,Entire home/apt,3,1.0,,,0,365,0,365,0.0,1.0,12,12.0,5.0,4.92,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
